technology,date,suggestion
RubyMotion,May 2013,Assess
RubyMotion,Oct 2012,Assess
Platform roadmaps,Jul 2011,Adopt
Platform roadmaps,Jan 2011,Adopt
Platform roadmaps,Aug 2010,Adopt
Platform roadmaps,Apr 2010,Adopt
Restfulie,Jan 2011,Assess
Restfulie,Aug 2010,Assess
Restfulie,Apr 2010,Assess
Puppet,Aug 2010,Trial
Protractor for AngularJS,Jul 2014,Trial
Zipkin,Nov 2016,Trial
Zipkin,Apr 2016,Trial
Zipkin,Oct 2012,Assess
PSake,May 2013,Adopt
PSake,Oct 2012,Trial
PSake,Mar 2012,Trial
Python 3,Jul 2014,Assess
Python 3,Jan 2014,Assess
Programming in your CI/CD tool,Nov 2015,Hold
Programming in your CI/CD tool,May 2015,Hold
Programming in your CI/CD tool,Jan 2015,Hold
"Scratch, Alice, and Kodu",May 2013,Trial
"Scratch, Alice, and Kodu",Oct 2012,Trial
Scrum certification,Mar 2012,Hold
Scrum certification,Jul 2011,Hold
Scrum certification,Jan 2011,Hold
Scrum certification,Aug 2010,Hold
Scrum certification,Apr 2010,Hold
Scikit-learn,Nov 2016,Assess
Procedure oriented integration,Jul 2011,Hold
Quick,Nov 2015,Assess
Quick,May 2015,Assess
TestFlight & HockeyApp,May 2013,Trial
Rackspace Cloud,May 2013,Trial
REST without PUT,Jan 2015,Trial
REST without PUT,Jul 2014,Trial
ReSwift,Nov 2016,Assess
Prototype On Paper,Jul 2014,Trial
Prototype On Paper,Jan 2014,Trial
Squid,Jan 2011,Adopt
Squid,Aug 2010,Adopt
Squid,Apr 2010,Adopt
SAFe™,Apr 2016,Hold
SAFe™,Nov 2015,Hold
SAFe™,May 2015,Hold
SAFe™,Jan 2015,Hold
tmate,Nov 2016,Trial
Q & Bluebird,Jan 2015,Trial
Q & Bluebird,Jul 2014,Trial
Repsheet,Nov 2016,Assess
Repsheet,Apr 2016,Assess
Riak,May 2013,Trial
Riak,Oct 2012,Trial
Riak,Mar 2012,Assess
Recharts,Nov 2016,Assess
Recharts,Apr 2016,Assess
MemSQL,Apr 2016,Assess
Thoughtful caching,Mar 2012,Trial
Thoughtful caching,Jul 2011,Trial
Property-based unit testing,Jul 2014,Assess
Generated infrastructure diagrams,Nov 2015,Adopt
Generated infrastructure diagrams,May 2015,Adopt
axios,Nov 2016,Assess
GWT,Mar 2012,Hold
GWT,Jul 2011,Hold
GWT,Jan 2011,Hold
GWT,Aug 2010,Hold
GWT,Apr 2010,Hold
AWS Application Load Balancer,Nov 2016,Assess
Datomic,May 2013,Assess
Datomic,Oct 2012,Assess
Selenium 2 testing of mobile websites,Jul 2011,Assess
Superficial private cloud,Nov 2016,Hold
Superficial private cloud,Apr 2016,Hold
Superficial private cloud,Nov 2015,Hold
Ruby,Jan 2011,Adopt
Ruby,Aug 2010,Adopt
Treating VMs like physical infrastructure,Mar 2012,Hold
Health check pages,Oct 2012,Adopt
Health check pages,Mar 2012,Adopt
Azure,May 2013,Assess
Azure,Oct 2012,Assess
Azure,Jan 2011,Assess
Azure,Aug 2010,Assess
Azure,Apr 2010,Hold
Client and server rendering with same code,Jan 2014,Trial
.NET Core,Nov 2016,Assess
.NET Core,Nov 2015,Assess
.NET Core,May 2015,Assess
Declarative provisioning,Oct 2012,Trial
Anemic REST,Nov 2016,Hold
Serverspec,Nov 2016,Trial
Serverspec,Apr 2016,Trial
Cloud,Apr 2010,Adopt
Cloud,Jan 2010,Adopt
Electron,Nov 2016,Assess
Terraform,Nov 2016,Trial
Terraform,Jan 2015,Assess
SignalR,Apr 2016,Trial
SignalR,Nov 2015,Trial
ESB,Oct 2012,Hold
ESB,Mar 2012,Hold
ESB,Jul 2011,Hold
ESB,Jan 2011,Hold
ESB,Aug 2010,Hold
ESB,Apr 2010,Hold
ECMAScript 2017,Nov 2016,Assess
GenyMotion,Jan 2015,Trial
GenyMotion,Jul 2014,Trial
Storm,Jul 2014,Assess
Storm,Jan 2014,Assess
CMS as a platform,Nov 2016,Hold
CMS as a platform,Jan 2015,Hold
CMS as a platform,Jul 2014,Hold
CMS as a platform,Jan 2014,Hold
Quick and Nimble,Nov 2016,Trial
WCF HTTP,Jan 2011,Assess
Advanced analytics,Oct 2012,Adopt
BFF - Backend for frontends,Apr 2016,Trial
BFF - Backend for frontends,Nov 2015,Trial
Traveling Ruby,Nov 2015,Assess
Go language,Jan 2015,Adopt
Go language,Jul 2014,Adopt
Go language,Jan 2014,Trial
Apache Mesos,Nov 2016,Trial
Apache Mesos,Apr 2016,Trial
Apache Mesos,Nov 2015,Trial
Apache Mesos,May 2015,Assess
Apache Mesos,Jan 2015,Assess
Canary builds,May 2015,Trial
Canary builds,Jan 2015,Trial
Splunk,Jul 2011,Trial
Splunk,Jan 2011,Trial
Cross mobile platforms,Jan 2011,Assess
Cross mobile platforms,Aug 2010,Assess
Cross mobile platforms,Apr 2010,Assess
Apache Flink,Nov 2016,Assess
Apache Flink,Apr 2016,Assess
Snowplow Analytics & Piwik,Jan 2015,Trial
Snowplow Analytics & Piwik,Jul 2014,Trial
Snowplow Analytics & Piwik,Jan 2014,Trial
Snowplow Analytics & Piwik,May 2013,Assess
Facebook as business platform,Jan 2011,Trial
Facebook as business platform,Aug 2010,Trial
Facebook as business platform,Apr 2010,Assess
HTML5 for offline applications,May 2013,Trial
HTML5 for offline applications,Oct 2012,Trial
HTML5 for offline applications,Mar 2012,Trial
HTML5 for offline applications,Jul 2011,Trial
Chrome OS,Jan 2010,Assess
Service choreography,Jan 2011,Trial
Service choreography,Aug 2010,Trial
Service choreography,Apr 2010,Trial
Tarantool,Nov 2016,Assess
Windows infrastructure automation,Jan 2014,Adopt
Windows infrastructure automation,May 2013,Adopt
Windows infrastructure automation,Oct 2012,Adopt
Windows infrastructure automation,Mar 2012,Trial
Reactive architectures,Nov 2016,Trial
Reactive architectures,Apr 2016,Trial
Reactive architectures,Nov 2015,Assess
Reactive architectures,May 2015,Assess
Web Components standard,Jul 2014,Assess
Web Components standard,Jan 2014,Assess
Cylon.js,Apr 2016,Assess
Citrix for development,Nov 2015,Hold
Citrix for development,May 2015,Hold
Citrix for development,Jan 2015,Hold
Micro frontends,Nov 2016,Assess
Aggregates as documents,May 2013,Adopt
Aggregates as documents,Oct 2012,Adopt
Client-side MVC,Mar 2012,Trial
Content Security Policies,Nov 2016,Assess
Content Security Policies,Apr 2016,Assess
Boot2docker,May 2015,Trial
Boot2docker,Jan 2015,Trial
Webpack,Nov 2016,Trial
Webpack,Apr 2016,Trial
Security Monkey,Nov 2015,Assess
Security Monkey,May 2015,Assess
BEM,Nov 2015,Trial
AngularJS,Nov 2016,Hold
AngularJS,Apr 2016,Assess
AngularJS,Jan 2015,Trial
AngularJS,Jul 2014,Trial
Event Storming,Apr 2016,Trial
Event Storming,Nov 2015,Trial
Concurrent languages,Jan 2010,Assess
GemJars,Oct 2012,Assess
Capture domain events explicitly,Jul 2014,Trial
Capture domain events explicitly,Jan 2014,Trial
CSS frameworks,May 2013,Adopt
Single command deploy,Mar 2012,Trial
Velocity as productivity,Jan 2015,Hold
Velocity as productivity,Jul 2014,Hold
Velocity as productivity,Jan 2014,Hold
Unity beyond gaming,Nov 2016,Trial
Ceph,Apr 2016,Assess
Ceph,Nov 2015,Assess
Server / application container end-of-life,Mar 2012,Hold
